,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
2315,S10385,1977-098A,Cosmos-957,1977 Sep 30,1977 Oct 13,1977 Oct 13,1977 Oct 13 0622?,,Zenit-4MKM,,,M,D,IMG,SU,A/AC.105/INF.368,,181,381,65.0,U,,,
2316,S10391,1976-124U,Kosmos-885 SS 17,1976 Dec 17,1977 Oct  1,1977 Oct  1,1977 Oct  1,,ESO,,,,D,CAL,,,,,,,U,,,
2317,S10401,1977-099A,Soyuz-25,1977 Oct  9,1977 Oct 11,1977 Oct 11,1977 Oct 11,,7K-T,,,M,C,SS,SU,A/AC.105/INF.369,,199,258,51.7,U,,M,
2318,S10403,1977-100A,Cosmos-958,1977 Oct 11,1977 Oct 24,1977 Oct 24,1977 Oct 24 0642?,,Zenit-6,,,M,D,IMG,SU,A/AC.105/INF.369,,265,369,62.8,U,,,
2319,S10418,1977-042R,Kosmos-913 SS 14,1977 May 30,1977 Oct 20,1977 Oct 20,1977 Oct 20,,ESO,,,,D,CAL,,,,,,,U,,,
2320,S10419,1977-101A,Cosmos-959,1977 Oct 21,1977 Nov 30,1977 Nov 30,1977 Nov 30,,Lira,,,,D,TARG,SU,A/AC.105/INF.369,,153,891,66.0,U,,,
2321,S10422,1977-102A,[ISEE 1],1977 Oct 22,1987 Sep 26,1987 Sep 26,1987 Sep 26,,DeltaEx,,,,C,SCI,US,ST/SG/SER.E/006,3456.7,286,183418,28.8,U,,P/F*,Magnetosphere
2322,S10423,1977-102B,ISEE 2,1977 Oct 22,1987 Sep 26,1987 Sep 26,1987 Sep 26,,ESA ISEE,,,,C,SCI,F*,ST/SG/SER.E/468,3438.0,224,137956,8.7,U,,P/F*,Magnetosphere
2323,S10430,1977-103A,Cosmos-960,1977 Oct 25,1978?,1978?,1978?,,Tselina-OM,,,,D,SIG,SU,A/AC.105/INF.369,,505,549,74.0,U,,,
2324,S10434,1977-104A,Cosmos-961,1977 Oct 26,1977 Oct 26,1977 Oct 26,1977 Oct 26,,IS 5V91TM,,,M,D,WEAPON,SU,A/AC.105/INF.369,,125,302,66.0,U,,,
2325,S10455,1977-105A,Molniya-3,1977 Oct 28,1981 Jun  5,1981 Jun  5,1981 Jun  5,,Molniya-3,,,M,C,COM,SU,A/AC.105/INF.369,,478,40764,62.8,U,,,
2326,S10457,1977-106A,[Transat],1977 Oct 28,1988 Sep 17,1988 Sep 17,1988 Sep 17,,NNS A,,,,D,NAV,US,ST/SG/SER.E/006,106.9,1068,1110,89.9,U,,,
2327,S10459,1977-107A,Cosmos-962,1977 Oct 28,1979?,1979?,1979?,,Tsiklon,,,,D,NAV,SU,A/AC.105/INF.369,,983,1022,83.0,U,,,
2328,S10487,1977-042S,Kosmos-913 SS 15,1977 May 30,1977 Nov 20,1977 Nov 20,1977 Nov 20,,ESO,,,,D,CAL,,,,,,,U,,,
2329,S10488,1977-042T,Kosmos-913 SS 16,1977 May 30,1977 Nov 20,1977 Nov 20,1977 Nov 20,,ESO,,,,D,CAL,,,,,,,U,,,
2330,S10489,1977-108A,Meteosat,1977 Nov 23,1985 Oct,1985 Oct,1985 Oct,,Meteosat,,,M,C,MET,F*,A/AC.105/INF.375,,36000,36000,0.0,U,,,
2331,S10491,1977-109A,Cosmos-963,1977 Nov 24,1979?,1979?,1979?,,Sfera,,,,D,GEOD,SU,A/AC.105/INF.370,,1190,1220,82.9,U,,GEOD,Operational geodesy
2332,S10494,1977-042U,Kosmos-913 SS 17,1977 May 30,1977 Nov 24,1977 Nov 24,1977 Nov 24,,ESO,,,,D,CAL,,,,,,,U,,,
2333,S10495,1977-042V,Kosmos-913 SS 18,1977 May 30,1977 Nov 24,1977 Nov 24,1977 Nov 24,,ESO,,,,D,CAL,,,,,,,U,,,
2334,S10496,1977-042W,Kosmos-913 SS 19,1977 May 30,1977 Nov 24,1977 Nov 24,1977 Nov 24,,ESO,,,,D,CAL,,,,,,,U,,,
2335,S10497,1977-042X,Kosmos-913 SS 20,1977 May 30,1977 Nov 24,1977 Nov 24,1977 Nov 24,,ESO,,,,D,CAL,,,,,,,U,,,
2336,S10498,1977-110A,Cosmos-964,1977 Dec  4,1977 Dec 17,1977 Dec 17,1977 Dec 17 0741?,,Zenit-4MKM,,,M,D,IMG,SU,A/AC.105/INF.370,,180,391,72.9,U,,,
2337,S10501,1977-111A,Cosmos-965,1977 Dec  8,1978 Jun?,1978 Jun?,1978 Jun?,,Taifun-2A,,,,D,CAL,SU,A/AC.105/INF.370,,469,520,74.0,U,,,
2338,S10502,1977-112A,,1977 Dec  8,1980?,1983?,1983?,,PARCAE,,,,D,SIG,US,ST/SG/SER.E/007,107.5,1103,1118,63.3,U,,,
2339,S10505,1977-111C,Kosmos-965 SS 1,1977 Dec  8,1977 Dec  8,1977 Dec  8,1977 Dec  8,,ESO,,,,D,CAL,,,,,,,U,,,
2340,S10506,1977-113A,Soyuz-26,1977 Dec 10,1978 Jan 16,1978 Jan 16,1978 Jan 16 1125,,7K-T,,,M,C,SS,SU,A/AC.105/INF.370,,193,246,51.7,U,,MG/BIO,"Life sci, microgravity"
2341,S10508,1977-114A,,1977 Dec 11,1980?,1988?,1988?,,RHYOLITE,,,M,D,SIG,US,ST/SG/SER.E/007,591.8,182,33759,27.8,U,,,
2342,S10510,1977-115A,Cosmos-966,1977 Dec 12,1977 Dec 24,1977 Dec 24,1977 Dec 24 0640?,,Zenit-2M,,,D,D,IMG,SU,A/AC.105/INF.370,,210,316,65.0,U,,,
2343,S10512,1977-116A,Cosmos-967,1977 Dec 13,1978?,1978?,1978?,,Lira,,,,D,TARG,SU,A/AC.105/INF.370,,973,1013,66.0,U,,,
2344,S10514,1977-117A,Meteor-2,1977 Dec 14,1981 Jan 21,1981 Jan 21,1981 Jan 21,,Meteor-2,,,,C,MET,SU,A/AC.105/INF.370,,872,906,81.2,U,,,
2345,S10516,1977-118A,CS,1977 Dec 15,1985 Nov 19,1985 Nov 19,1985 Nov 19,,CS,,,M,C,COM,J,A/AC.105/INF.373,1436.0,35783,35790,0.1,U,,,
2346,S10520,1977-119A,Cosmos-968,1977 Dec 16,1980?,1980?,1980?,,Strela-2M,,,,D,COM,SU,A/AC.105/INF.370,,783,822,74.0,U,,,
2347,S10527,1977-120A,Cosmos-969,1977 Dec 20,1978 Jan  3,1978 Jan  3,1978 Jan  3 0610?,,Zenit-4MKM,,,M,D,IMG,SU,A/AC.105/INF.372,,188,340,62.8,U,,,
2348,S10529,1977-112D,,1977 Dec  8,1980?,1983?,1983?,,SSU,,,M,D,SIG,US,ST/SG/SER.E/007,107.6,1054,1185,63.4,U,,,
2349,S10531,1977-121A,Cosmos-970,1977 Dec 21,1977 Dec 21,1977 Dec 21,1977 Dec 21,,IS 5V91AT,,,M,D,WEAPON,SU,A/AC.105/INF.372,,954,1160,65.8,U,,,
2350,S10536,1977-122A,Cosmos-971,1977 Dec 23,1980?,1980?,1980?,,Parus,,,,D,NAV,SU,A/AC.105/INF.372,,993,1021,83.0,U,,,
2351,S10538,1977-115D,Kapsula Kosmosa-966,1977 Dec 12,1977 Dec 24,1977 Dec 24,1977 Dec 24,,Nauka 26KS,,,,D,TECH?,,,,,,,U,,,
2352,S10539,1977-123A,Cosmos-972,1977 Dec 27,1977 Dec,1977 Dec,1977 Dec,,Okean-E,,,,D,TECH,SU,A/AC.105/INF.372,,772,1189,75.8,U,,,
2353,S10540,1977-124A,Cosmos-973,1977 Dec 27,1978 Jan  9,1978 Jan  9,1978 Jan  9 0716?,,Zenit-2M,,,D,D,IMG,SU,A/AC.105/INF.372,,210,348,71.4,U,,,
2354,S10544,1977-112E,,1977 Dec  8,1980?,1983?,1983?,,SSU,,,M,D,SIG,US,ST/SG/SER.E/007,107.6,1053,1168,63.4,U,,,
2355,S10554,1978-001A,Cosmos-974,1978 Jan  6,1978 Jan 19,1978 Jan 19,1978 Jan 19 0624?,,Zenit-4MKM,,,M,D,IMG,SU,ST/SG/SER.E/008,89.6,188,356,62.8,U,,,
2356,S10557,1978-002A,[Intelsat 4A],1978 Jan  7,1988 Nov 15,1988 Nov 15,1988 Nov 15,,Int4A,,,M,C,COM,US,ST/SG/SER.E/007,1432.4,35634,35797,0.4,U,,,
2357,S10558,1977-124D,Kapsula Kosmosa-973,1977 Dec 27,1978 Jan  8,1978 Jan  8,1978 Jan  8,,Nauka 27KS,,,,D,TECH?,,,,,,,U,,,Unknown (27KS)
