,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
1369,A05682,NNA E,1995-048,CP E,EMU 2041/PLSS 1010,STS-69 EV2,1995 Sep  7,S23667,1995 Sep 16 1502,Earth,1995 Sep 18 1138,AL IN,,JSC,US,HASTD,EMU,,130,,130,,0,,2.0,,0.5,,2.0,,Suit,1995 Sep 11,396,,403,,28.46,,LLEO/I,,
1370,S23678,23678,1995-053A,PP H,Progress M-29,Progress 7K-TGM No. 229,1995 Oct  8,S17845,1995 Oct 10 2032,Earth,1995 Dec 19 0915,UDK,,RKKE,RU,RKKE,Progress,,7122,,4500,,7122,,7.9,,2.7,,7.9,,Sphere + Cone + Cyl + Pan,1995 Nov  7,391,,395,,51.64,,LLEO/I,,
1371,A08842,NNA I,1995-053,CCIH----U,Progress M-29 Up Cargo,,1995 Oct  8,A04258,1995 Oct 11?,Earth,2001 Mar 23 0555,AR IN,,RKKE,SU,RKKE,,,0,,0,,0,,0.0,,0.0,,0.0,,Irr,1986 Mar 22,332,,338,,51.62,,LLEO/I,,
1372,A05685,NNA E,1995-053,CP E,Orlan DMA-26,Orlan-DMA No. 26,1995 Oct  8,S20335,1995 Oct 10 2032,Earth,1995 Oct 20 1150,TFR E,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Oct 20,392,,396,,51.65,,LLEO/I,,
1373,A05248,NNA E,1992-071,CP E,Orlan DMA-18,Orlan-DMA No. 18,1992 Oct 27,S20335,1995 Oct 20 1150,Earth,1995 Oct 20 1706,EVA,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Oct 20,392,,396,,51.65,,LLEO/I,,
1374,A05685,NNA E,1995-053,CP E,Orlan DMA-26,Orlan-DMA No. 26,1995 Oct  8,S20335,1995 Oct 20 1150,Earth,1995 Oct 20 1706,EVA,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Oct 20,392,,396,,51.65,,LLEO/I,,
1375,A05685,NNA E,1995-053,CP E,Orlan DMA-26,Orlan-DMA No. 26,1995 Oct  8,S20335,1995 Oct 20 1706,Earth,1996 Feb  8 1403,TFR E,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Oct 20,392,,396,,51.65,,LLEO/I,,
1376,A05248,NNA E,1992-071,CP E,Orlan DMA-18,Orlan-DMA No. 18,1992 Oct 27,S20335,1995 Oct 20 1706,Earth,1995 Dec  8,TFR,S16609,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Dec  8,390,,395,,51.65,,LLEO/I,,
1377,A05709,NNA C,1995-061,PPTH-S-,Stikovochniy Otsek,DM 316GK No. 1,1995 Nov 12,A05714,1995 Nov 14 0637,Earth,1995 Nov 14 0717,ATT,A05702,RKKE,RU,RKKE,316GK,,3161,,3161,,0,,4.7,,2.2,,4.7,,Cyl,1995 Nov 15,390,,395,,51.64,,LLEO/I,,
1378,A05709,NNA C,1995-061,PPTH-S-,Stikovochniy Otsek,DM 316GK No. 1,1995 Nov 12,A05702,1995 Nov 14 0717,Earth,1995 Nov 15 0636,ATT,S20635,RKKE,RU,RKKE,316GK,,3161,,3161,,0,,4.7,,2.2,,4.7,,Cyl,1995 Nov 15,390,,395,,51.64,,LLEO/I,,
1379,S23714,23714,1995-061A,PH H-S,Atlantis (STS-74),OV-104,1995 Nov 12,S20635,1995 Nov 15 0627:39,Earth,1995 Nov 15 0636,ATT,A05709,JSC,US,RWI,STS OV,,110000,,100000,,112291,,37.3,,23.8,,37.3,,Box + 2 Wing + Fin,1995 Nov 14,345,,394,,51.64,,LLEO/I,,
1380,S23714,23714,1995-061A,PH H-S,Atlantis (STS-74),OV-104,1995 Nov 12,A05709,1995 Nov 15 0636,Earth,1995 Nov 18 0815:44,UDK,,JSC,US,RWI,STS OV,,110000,,100000,,112291,,37.3,,23.8,,37.3,,Box + 2 Wing + Fin,1995 Nov 14,345,,394,,51.64,,LLEO/I,,
1381,A05709,NNA C,1995-061,PPTH-S-,Stikovochniy Otsek,DM 316GK No. 1,1995 Nov 12,S20635,1995 Nov 15 0636,Earth,2001 Mar 23 0555,AR,26.22S 175.88W,RKKE,RU,RKKE,316GK,,0,,0,,0,,0.0,,0.0,,0.0,,,1995 Nov 15,391,,395,,51.64,,LLEO/I,,
1382,A05717,23714,1995-061,C IH-S,STS-74 Mir Up Cargo,,1995 Nov 12,A04258,1995 Nov 15 0900,Earth,2001 Mar 23 0555,AR,,JSC,US,,,,815,,815,,0,,0.0,,0.0,,0.0,,Irr,1995 Nov 15,391,,395,,51.65,,LLEO/I,,
1383,A05718,23714,1995-061,CCIH-S,STS-74 Mir Down Cargo,,1995 Nov 12,S23714,1995 Nov 17 1746,Earth,1995 Nov 20 1701,AL IN,,JSC,US,,,,353,,353,,0,,0.0,,0.0,,0.0,,Irr,1995 Nov 15,391,,395,,51.65,,LLEO/I,,
1384,S23714,23714,1995-061A,PH H-S,Atlantis (STS-74),OV-104,1995 Nov 12,A05709,1995 Nov 18 0815:44,Earth,1995 Nov 20 1701:27,L,KSC RW33,JSC,US,RWI,STS OV,,110000,,100000,,112291,,37.3,,23.8,,37.3,,Box + 2 Wing + Fin,1995 Nov 14,345,,394,,51.64,,LLEO/I,,
1385,A05248,NNA E,1992-071,CP E,Orlan DMA-18,Orlan-DMA No. 18,1992 Oct 27,S16609,1995 Dec  8,Earth,1995 Dec  8 1923,TFR E,S16609,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Dec  9,390,,395,,51.65,,LLEO/I,,
1386,A05304,NNA E,1993-019,CP E,Orlan DMA-25,Orlan-DMA No. 25,1993 Mar 31,S16609,1995 Dec  8,Earth,1995 Dec  8 1923,TFR E,S16609,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Dec  8,390,,395,,51.65,,LLEO/I,,
1387,A05248,NNA E,1992-071,CP E,Orlan DMA-18,Orlan-DMA No. 18,1992 Oct 27,S16609,1995 Dec  8 1923,Earth,1995 Dec  8 1952,EVA,S16609,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Dec  8,390,,395,,51.65,,LLEO/I,,
