,Cite,Reference
133,FOM-JUNO-AM16A,"Flight Operations Memo, JUNO AM-16A"
134,FRGPER,"German Pershing Launch List, via Ulrich B."
135,GAMHEX-G27,"Gambit-Hexagon memos no. 27, http://nro.mil."
136,GCA-63-23N,"Smith, L.G., Electron Density in the Ionosphere, GCA Tech Report 63-23-N,"
137,GCA63-22-N,"Smith, L.G, .. Nighttime E.., GCA Tech Report 63-22-N."
138,GCA-TR-67-11-N,GCA tech rept.
139,GCA-TR-68-14-N,GCA tech rept.
140,GD-Atlas,"General Dynamics Atlas launch list, 1983."
141,GSFC-X-611-69-245,"Boldt, E. et al, 1969, NASA GFSC-X-611-69-245."
142,GSFC-X-611-69-248,"Boldt, E. et al, 1969, NASA GFSC-X-611-69-248."
143,GT12PAO,Gemini 12 PAO transcript
144,GT5-TEC,Gemini 5 TEC transcript
145,GT7-TEC,Gemini 7 TEC transcript
146,GT9PAO,Gemini 9 PAO transcript
147,GWU-NH74,"GWU security archive, declassified document on FOBS."
148,Hermes-Rpt,"Project Hermes Final Rept., GE (Schenectady) Sep 1952. TIS No. R52A0510."
149,Horvath72,"UM document, Pitot Probe Techniques, by J Horvath, May 1972"
150,HSRP-104,"Harvard Space Radio Project, Ph.D. thesis by G. R. Huguenin."
151,HyshotFailRept,Final Report... Investigation into the anomaly .. HyShot. ATSB Jun 2002.
152,ISASRpt635,ISAS Report 635
153,ISASRpt679,ISAS Report 679
154,ISTS,"International Symposium on Space Technology and Science, Tokyo"
155,JHU-TR17,"Bottema, M. et al, JHU Physics Dept. Tech Rept 17, 1969."
156,JPL-FOM-59-10,JPL memo JPL-FOM-59-10
157,JPL-TR32-1086,"JPL Tech Rept, TR-32-1086"
158,JPL-TR-32-1550,JPL Tech Rept.JPL-TR-32-1550
159,JPL4-41,"WAC B Sounding Rocket, JPL, 1947 (Report 4-41)"
160,JPL32-31-2,"JPL Technical Report, 32-31, Vol 2"
161,JPL32-31-3,"JPL Technical Report, 32-31, Vol 3."
162,JunoFam,"The Juno Family, ABMA, 4 Dec 1958"
163,Jupiter,"Grimwood, J.M. and Strowd, F., History of the Jupiter Missile System, US Army Ordnance Missile Command, 1962."
164,KPNO,"Kitt Peak rocket program files, collection of Lloyd Wallace, KPNO."
165,LAAFB,"History Office, Los Angeles AFB, via Peter Hunter."
166,LJ-WorkingPaper133,"Little Joe, Working Paper 133 (NARA-FW, via Peter McQuillan)"
167,LJ-WorkingPaper134,LJ-WorkingPaper134
168,LJ-WorkingPaper166,LJ-WorkingPaper166
169,LJ-WorkingPaper173,LJ-WorkingPaper173
170,LRL-ENN73-172,"Summary of LLL Sounding Rocket Program 1968-1973, LLL Engineering Note ENN73-172, 1973 Sep 6."
171,LTV-PR,LTV press release
172,MS-5-65,"Redstone Arsenal, MICOM document ""Sino-Soviet Bloc Missile and Space Technology"", MS-5-65, May 1965."
173,MICOM-AHS-143,"Redstone Arsenal, document MICOM-AHS-143"
174,MIKBOR,"Mikoyan, S.A., The SPIRAL Orbital Plane and the BOR-4 and BOR-5 Flying Models (undated, downloaded from www.buran.ru)."
175,MM/Titan,"Chronological Titan Launch History, Martin Marietta, 1989."
176,MND-3283-2,"Martin Co., RFD-2 Flight Test Program, 1965."
177,MOR,NASA Mission Operations Report
178,MOR + TLE,"NASA Mission Operations Report, combined with orbital data."
179,MSFCFLASH,MSFC STS Flash Report.
180,MT60-2544,"Index of Missile Launchings By Missile Program, M. Whipple, AFMTC 1960 et seq."
181,MTP-LOD-OIR-61-13.1,"Jupiter Program Memo, MTP-LOD-OIR-61-13.1 (National Archives, Atlanta)"
182,MTP-P&VE-P-62-8,Redstone program memo MTP-P&VE-P-62-8
183,MTR-1,"P. Clark, Molniya Tech Rept. 1"
184,MTR-4,"P. Clark, Molniya Tech Rept 4, China's Recoverable Satellites (1994)."
185,N65-24357,N65-24357 microfiche
186,N65-24358,N65-24358 microfiche
187,N66-80960,Vehicle D-6 Post Flight Review
188,NASAHIST,NASA internal memos in NASA History Office files.
189,NASA-5-25-59W-V3,"1958 NASA/USAF Space Probes (Able-1) Final Report, Vol 3."
190,NGARAV,"Northrop Grumman ARAV summary, courtesy of W. Eleazar"
191,NOTS,"NOTS files on satellite program, via NASM"
192,NRO,NRO declassified CORONA files.
193,NRO2D4,NRO declassified file NRO2D4
194,NRO3E24,NRO3E24
195,NRO3E3,NRO3E3
196,NRO3E88,NRO3E88
197,NZeus,"History of the Nike Zeus Program at Vandenberg AFB, Aug 1959-Apr 1963, W.S. Howard, VAFB"
198,OMNS-T3C-9,"Orbital Network Mission Summary, AFETR, Titan IIIC SLV-5 Vehicle No. 9."
199,P437,Program 437 History
200,PER,CORONA Performance Evalutation Reports and Photographic Evaluation Reports (PER).
201,PER1052,CORONA PER1052
202,PER1113,CORONA PER1113
203,PFRR,Poker Flat launch list
204,PMRHist64,"Pacific Missile Range History, Calendar Year 1964."
205,PSC/C/89-1,"P. Clark, Chinese Space Activity 1987-1988."
206,PSU-SR335,"Quinn, R.G., Penn State U. Ionospheric Research Sci. Rept. 335, 1969."
207,PSU-IRL-267,Penn State document
208,Philp74,"Philp, Alan T., 1974: Eclipse '74 Report."
209,Polyot,"Kalendar Puskov RN Kosmos, AO Polyot, 1994"
210,RAE/PSC,"Archives formerly at RAE, via Peter Hunter and Phillip Clark"
211,RVA3,RV-A-3 report.
212,RS5-2007-5002,"Schoneman et al, 2007, 5th Responsive Space Conference, paper 5002."
213,Rothmund,"Rothmund, C., Europa et Cora - les fusees oubliees."
214,Rothmund-Serra,"Rothmund, C., manuscript via J-J. Serra."
215,SAC7383,"Operation 7383 Launch Vehicle Flight Report, 394th ITMS SAC, VAFB (1980)."
216,SAMSO,SAMSO History
217,SAMSO-LL,SAMSO Launch List
218,SMT011214,"Space and Missile Times, 2001 Dec 14."
219,SPX-487,Spacewarn Bulletin No. 487
220,SRFB-068,Memo SRFB-068
221,STSJSC,"STS program documents, Johnson Space Center (via FOIA)"
222,Safeguard,"Safeguard launch list, via SMDC history office."
223,Sentinelles,Sentinelles (MSBS article)
224,SSP65,"US Congress, Soviet Space Programs 1965"
225,TE,Thiokol/Elkton launch database
226,Thor,"Arms, 1972: Thor history."
227,UCRL-50587,"Summary of LRL Sounding Rocket Experiments 1963-1968, Seward, F., LRL."
228,VAFB,"Vandenberg History Office launch list, 1995 edition."
229,VCR,"Commander's Launch Reports, Vandenberg Air Force Base"
230,Vang-ER-SLV6,"Vanguard report Vang-ER-SLV6, via KSC Archives and NARA"
231,Vang-ER-SLV7,Vang-ER-SLV7
232,Vang-ER10300,Vang-ER10300
233,Vang-ER10301,Vang-ER10301
234,Vang-ER10302,Vang-ER10302
235,Vang-ER10303,Vang-ER10303
236,Vang-ER10304,Vang-ER10304
237,Vang-ER10589,Vang-ER10589
238,Vang-ER9470,Vang-ER9470
239,Vang-ER9948,Vang-ER9948
240,Vang-ER9955,Vang-ER9955
241,Vang-TV0,Vang-TV0
242,WDC,"WDC Rocket File (printout version, supplied 1984; some entries not in WDCRF)"
243,WISR,"Sounding Rocket Lists, Wallops Island Public Affairs Office (via J. Powell)"
244,Z10,"Zadacha osoboy gosudarstevennoy vashnosti. ed. Ivkin, Sukhin, 2010."
245,Z20,"Zadacha...  addtional volumes, extracts provided by A.K."
246,Zapolskiy,"Zapolskiy, A.A., 'Missiles Take Off From The Sea', 1994."
247,Titan3Review,Titan3Review
248,Titan3Review-2h,Titan3Review-2h
249,Titan,Martin Marietta Titan launch list
250,AAS195.110.11,"E.B. Burgh et al, Poster 110.11, Jan 1999 AAS meeting, Austin, TX."
251,AIAA97-3138,AIAA paper 97-3138
252,IAA-00-IAA.2.203,IAA paper IAA-00-IAA.2.203
253,Space98,"Galloway, R et al, Space 98, Proc 6th Intl Conf on Engineering, Construction and Operations, ASCE, 1998, p 382."
254,ICTS4-193,"James G. and Tyc G., 4th International Conference on Tethers in Space, 1995, p 193."
255,AASH7-2-65,"AAS History Series 7, 2, 65"
256,AAS89-260,"AAS History Series 8, 147"
257,AASH9-191,"AAS History Series 9,191"
258,AASH15-335,"AAS History Series 15,335"
259,AASH17-131,"AAS History Series 17,131"
260,AASH25-153,"AAS History Series 25, 153"
261,AASH25-201,"AAS History Series 25, 201"
262,AE1915,"Aeronautics and Astronautics, 1915-1960"
263,AE1960,"Aeronautics and Astronautics, 1915-1960 (NASA, 1961)."
264,AE1961,"Aeronautics and Astronautics, 1961  (NASA, 1962)."
265,AE1961A,"Chronology of Missile and Astronautics Events (US House, 1961)"
266,AE1962,"Astronautical and Aeronautical Events of 1962 (US House, 1962)."
267,APLTD,"APL Technical Digest, unknown issue"
268,APL-TD-1-3,"APL Technical Digest, Vol 1, No 3, 1980."
269,APL-TD-8-3,"APL Technical Digest, Vol 8, No 3."
270,APL-TD1-3,APL Technical Digest TD1-3
271,APL-TD3-2-135,APL Technical Digest TD3-2-135
272,APL-TD8-3,APL Technical Digest TD8-3
273,"ASR1,2","Advances in Space Research 1,2"
274,ATWA70-71,Jane's All the World's Aircraft 1970-71
275,AVMDS,"V. Agapov, Novosti Kosmonavtiki 1997 No 6, p 54."
276,AVMNLJ,"V. Agapov and N. Johnson, Appendix A2 in Europe and Asia in Space 1993-4, N Johnson."
277,AWST000124-24,"Aviation Week, 2000 Jan 24, p 24."
278,AWST000918-18,AWST000918-18
279,AWST001009-29,AWST001009-29
280,AWST001127-36,AWST001127-36
281,AWST010205-39,AWST010205-39
282,AWST840813-20,AWST840813-20
283,AWST841119-28,AWST841119-28
284,AWST850923-20,AWST850923-20
285,AWST860512-20,AWST860512-20
286,AWST860901-45,AWST860901-45
287,AWST860915-18,AWST860915-18
288,AWST890522-25,AWST890522-25
289,AWST890828-21,AWST890828-21
290,AWST890904-24,AWST890904-24
291,AWST890911-41,AWST890911-41
292,AWST891002-23,AWST891002-23
293,AWST891030-21,AWST891030-21
294,AWST891120-43,AWST891120-43
295,AWST891127-30,AWST891127-30
296,AWST900205-33,AWST900205-33
297,AWST900730-32,AWST900730-32
298,AWST910204-22,AWST910204-22
299,AWST910520-25,AWST910520-25
300,AWST910624-30,AWST910624-30
301,AWST910715-24,AWST910715-24
302,AWST910722-24,AWST910722-24
303,AWST910826-64,AWST910826-64
304,AWST910909-29,AWST910909-29
305,AWST910916-17,AWST910916-17
306,AWST911118-20,AWST911118-20
307,AWST920706-17,AWST920706-17
308,AWST920713-19,AWST920713-19
309,AWST920831-22,AWST920831-22
310,AWST920907-42,AWST920907-42
311,AWST920914-17,AWST920914-17
312,AWST920921-22,AWST920921-22
313,AWST921109-62,AWST921109-62
314,AWST921207-19,AWST921207-19
315,AWST930301-60,"Aviation Week, 1993 Mar 1, p 60."
316,AWST930823-26,AWST930823-26
317,AWST930920-39,AWST930920-39
318,AWST931025-30,AWST931025-30
319,AWST940207-17,AWST940207-17
320,AWST940516-17,AWST940516-17
321,AWST940620-26,AWST940620-26
322,AWST940627-26,AWST940627-26
323,AWST940905-47,AWST940905-47
324,AWST940912-19,AWST940912-19
325,AWST941010-19,AWST941010-19
326,AWST950731-23,"Aviation Week, 1995 Jul 31, p 23."
327,AWST950807-17,AWST950807-17
328,AWST950807-58,AWST950807-58
329,AWST950807-59,AWST950807-59
330,AWST950821-18,AWST950821-18
331,AWST951204-25,AWST951204-25
332,AWST960219-25,AWST960219-25
333,AWST960226-67,AWST960226-67
334,AWST960311-59,AWST960311-59
335,AWST960401-28,AWST960401-28
336,AWST960617-32,AWST960617-32
337,AWST960708-17,AWST960708-17
338,AWST960826-73,AWST960826-73
339,AWST970324-33,AWST970324-33
340,AWST970324-34,AWST970324-34
341,AWST970512-25,AWST970512-25
342,AWST970825-16,AWST970825-16
343,AWST970901-28,AWST970901-28
344,AWST980126-24,AWST980126-24
345,AWST980309-19,AWST980309-19
346,AWST990809-29,AWST990809-29
347,AdvAstSci62-497,"Advances in Astr. Sciences 62, 497"
348,AdvSpRes4-111,"Advances in Space Research 4, 111"
349,AirEtCosmos,Air Et Cosmos magazine
350,AirEtCos199,Air Et Cosmos No. 199
351,AnnGeoph18,Ann. Geophys. 18
352,"AnnalesGeo17,109","Annales de Geophys. 17, 109"
353,"AnnalesGeo17,134","Annales de Geophys. 17,134"
354,"AnnalesGeo22,225","Annales de Geophys. 22, 225"
355,"AnnalesGeo24,305","Annales de Geophys. 24,305"
356,"AnnalesGeo24,649","Annales de Geophys. 24, 649"
357,"AnnalesGeo25,307","Annales de Geophys. 25, 307"
358,"AnnalesGeo25,393","Annales de Geophys. 25, 393"
359,"AnnalesGeo26,845","Annales de Geophys. 26, 845"
360,"AnnalesGeo27,493","Annales de Geophys. 27, 493"
361,"AnnalesGeo36,271","Annales de Geophys. 36,271"
362,"ApJ136,1","ApJ 136, 1"
363,"ApJ153,L191","ApJ 153,L191"
364,ApJ162-287,ApJ 162-287
365,Astronautics5708,"Astronautics, Aug 1957"
366,"BASI3,75","Bull Astron Soc India 3, 75"
367,"CASJ20,396","Canadian Aeronautics and Space Journal, 20, 396."
368,CurrSci83-1081,"Current Science (India), 83, 1081"
369,ESA-SP76,ESA SP-76
370,ESA-SP115,ESASP115
371,ESA-SP115-213,ESASP115-213
372,ESA-SP135-119,ESA-SP135-119
373,ESA-SP135-125,ESA-SP135-125
374,ESA-SP135-277,ESA-SP135-277
375,ESA-SP135-37,ESA-SP135-37
376,ESA-SP135-437,ESA-SP135-437
377,ESA-SP152,ESA-SP152
378,ESA-SP152-117,ESA-SP152-117
379,ESA-SP152-121,ESA-SP152-121
380,ESA-SP152-245,ESA-SP152-245
381,ESA-SP152-257,ESA-SP152-257
382,ESA-SP152-263,ESA-SP152-263
383,ESA-SP152-269,ESA-SP152-269
384,ESA-SP152-301,ESA-SP152-301
385,ESA-SP152-317,ESA-SP152-317
386,ESA-SP152-331,ESA-SP152-331
387,ESA-SP152-407,ESA-SP152-407
388,ESA-SP183,ESASP183
389,ESA-SP183-277,ESASP183-277
390,ESA-SP183-333,ESASP183-333
391,ESA-SP183-479,ESASP183-479
392,ESA-SP183-89,ESASP183-89
393,ESA-SP229-19,ESA-SP229-19
394,ESA-SP229-206,ESA-SP229-206
395,ESA-SP229-351,ESA-SP229-351
396,ESA-SP270-55,ESA-SP270-55
397,ESA-SP270-169,ESASP270-169
398,ESA-SP270-299,ESASP270-299
399,ESA-SP291-153,ESA-SP291-153
400,ESA-SP291-173,ESA-SP291-173
