,Cite,Reference
1163,Siddiqi,"A. Siddiqi, personal communication"
1164,SSC25,"SSC 25th anniversary report, as cited by Joel Powell, personal comm."
1165,Tiziou,"Jacques Tiziou, personal files."
1166,"Todd,D-pc","David Todd, personal communication."
1167,Waldron,"Harry Waldron, personal communication."
1168,Zak,"Anatoliy Zak, personal communication"
1169,Zak06,"Anatoly Zak, Nonprofileration Review 13, 143, 2006"
1170,Zhelez,"Aleksandr Zheleznyakov, personal communication"
1171,anik_nsf,Andrey Krasil'nikov posting on nasaspaceflight.com
1172,Wire,Wire service and TV news reports.
1173,AP941221,"AP, 1994 Dec 21."
1174,AP960731,"AP, 1996 Jul 31."
1175,INTERFAX960716,"INTERFAX, 1996 Jul 16"
1176,TASS950608,TASS950608
1177,TASS950905,"TASS, 1995 Sep 5."
1178,TASS951010,TASS951010
1179,TASS961004,TASS961004
1180,TASS970117,TASS970117
1181,AD666744,"Project Harp, report on Nov 1965 testing series."
1182,Wroughton,"Documents at Science Museum, Wroughton (Black Arrow files)"
1183,AE-TV,Arianespace launch broadcast.
1184,AVMN,"Vladimir Agapov, posting on SeeSat-L and other lists."
1185,GSFC-Bldg2Wall,"Poster on wall of GSFC building 2, ca. 2001"
1186,JCM,In JSR private files; original reference mislaid.
1187,JCM-R1,Note: Assumed close in time to Aerobee launch; rough estimate Crab lunar occultation lasts about 10 min
1188,JCM-P,Author's personal observation of launch.
1189,AK13,"Andrey Krasnil'nikov, List of Russian Space Launches, www.nasaspaceflight.com, 2013."
1190,AK15,"Andrey Krasil'nikov's launch log, 2015 edition"
1191,AK16,"Andrey Krasil'nikov's launch log, 2016 edition"
1192,RPC,private communication from Russian sources; not confirmed.
1193,RPCA,private communication from Russian sources.
1194,RPCB,"private communication from Russian sources, Mar 2016."
1195,TLE,Calculated by the author based on TLE orbital data.
1196,SAOLab,"Lab notebooks, Meteor project, SAO Plate Stacks collection (ST camera;SK; SL camera book 10L)"
1197,SAOLab/SL65-67,"Camera SL, Lab book 1965-67, SAO Plate Stacks (SAO Meteor Project/Meteor Trail Operation Record)"
1198,MSTIProgRev,"MSTI Program Review slides, Sep 1994"
1199,WWW,Unspecified WWW site
1200,bharat-rakshak.com,www.bharat-rakshak.com
1201,crista.uni-wup,www.crista.uni-wup.de
1202,defensebriefing.com,www.defensebriefing.com
1203,hobbes.crc.com,www.hobbes.crc.com
1204,jpost.com,www.jpost.com
1205,lmco.com,www.lmco.com
1206,lockheedmartin.com,www.lockheedmartin.com
1207,orbireport.com,www.orbireport.com
1208,raketenmodellbau.de,Posting by Harald (Lutz?) on the MMR-06 launches from Zingst.
1209,redstone.army.mil,www.redstone.army.mil
1210,russianspaceweb.com,www.russianspaceweb.com
1211,sonyaceramics.com,www.sonyaceramics.com
1212,spaceflightnow.com,www.spaceflightnow.com
1213,users.senet.com.au,users.senet.com.au
1214,uxb.cso.uiuc.edu,uxb.cso.uiuc.edu
1215,www.acq.osd.mil,www.acq.osd.mil
1216,www.cass.usu.edu,www.cass.usu.edu
1217,www.cdiss.org,www.cdiss.org
1218,www.cesaroni.net,www.cesaroni.net
1219,www.chinfo.navy.mil,www.chinfo.navy.mil
1220,www.defense.gouv.fr,www.defense.gouv.fr
1221,www.dlr.de,www.dlr.de
1222,www.dote.osd.mil,www.dote.osd.mil
1223,www.eurockot.com,www.eurockot.com
1224,www.fas.org,www.fas.org
1225,www.hybridraketen.de,www.hybridraketen.de
1226,www.hybrids.com,www.hybrids.com
1227,www.iae.cta.br,www.iae.cta.br
1228,www.iai.co.il,www.iai.co.il
1229,www.indiaserver.com,www.indiaserver.com
1230,www.ipclub.ru,www.ipclub.ru
1231,www.isas.ac.jp,www.isas.ac.jp
1232,www.netmarine.net,www.netmarine.net
1233,www.op.dlr.de,www.op.dlr.de
1234,www.orbireport.com,www.orbireport.com
1235,www.rocketrange.no,www.rocketrange.no
1236,www.smdc.army.mil,www.smdc.army.mil
1237,www.spacedaily.com,www.spacedaily.com
1238,www.spaceline.org,www.spaceline.org
1239,www.ssc.se,www.ssc.se
1240,www.ucsusa.org,www.ucsusa.org
1241,www.uq.edu.au,www.uq.edu.au
1242,www.univ-perp.fr,www.univ-perp.fr
1243,www.usu.edu,www.usu.edu
1244,www.wff.nasa.gov,www.wff.nasa.gov
1245,www.wsmr.army.mil,www.wsmr.army.mil
1246,wsmr-history.org,www.wsmr-history.org
1247,AND-WWW,"www.rocketrange.no, Andoya Rocket Range"
1248,ASUSAT-WWW,"nasa.asu.edu, Arizona State ASUSAT"
1249,AEB-WWW,"www.agespacial.gov.br, AEB"
1250,Aerospatiale-WWW,www.aerospatiale.fr
1251,BMDO-WWW,www.bmdo.mil
1252,Brookings-WWW,www.brook.edu/FP/projects/nucwcost/sprint.htm
1253,CALT-WWW,www.calt.com.cn
1254,CGW-WWW,www.cgwic.com.cn
1255,CNN-WWW,www.cnn.com
1256,ESR-WWW,www.ssc.se/esrange
1257,Eurockot-WWW,www.eurockot.com
1258,Grahn-WWW,www.users.wineasy.se/svengrahn
1259,Hill-WWW,members.aol.com/nicholashl
1260,ISAS-WWW,www.isas.ac.jp
1261,KMR-WWW,www.smdc.army.mil/kmr.html
1262,LGARDE-WWW,www.lgarde.com
1263,LMA-WWW,www.ast.lmco.com
1264,NASDA-WWW,www.nasda.go.jp
1265,NK-WWW,www.novosti-kosmonavtiki.ru
1266,PL-WWW,www.plesetsk.ru (obsolete)
1267,POES-WWW,poes.gsfc.nasa.gov
1268,SMDC-WWW,www.smdc.army.mil
1269,SPFLA-WWW,www.spaceportflorida.com
1270,SSC-WWW,www.ssc.se
1271,SVC-WWW,www.spacevector.com
1272,VAFB-WWW,www.vafb.af.mil
1273,WFF-WWW,www.wff.nasa.gov
1274,WSMR-WWW,www-wsmr.army.mil
1275,WWW-BMDO,bmdo.mil
1276,WWW-CFSCIC,www.rssi.ru/SFCSIC/SFCSIC_main.html
1277,WWW-Calgary,www.ucalgary.ca
1278,WWW-FAST,sunland.gsfc.nasa.gov/smex/fast
1279,WWW-LASP,www.boulder.swri.edu
1280,WWW-MSFC,www.msfc.nasa.gov
1281,WWW-NASDA,www.nasda.go.jp
1282,WWW-PFRR,www.pfrr.alaska.edu
1283,WWW-PSU,www.astro.psu.edu
1284,WWW-SSC,www.ssc.se
1285,WWW-WFF,www.wff.nasa.gov
1286,Xinhua,www.xinhuanet.com
1287,astronautix.com,astronautix.com
1288,bharat-rashshak.com,bharat-rashshak.com
1289,designation-systems,designation-systems
1290,floridaspace>.com,floridaspaceport.com
1291,gulflink.osd.mil,gulflink.osd.mil
1292,hin2.samfunnet.no,hin2.samfunnet.no
1293,isas.go.jp,isas.go.jp
1294,news.bbc.co.uk,news.bbc.co.uk
1295,patrick.af.mil,patrick.af.mil
1296,pib.nic.in,pib.nic.in
1297,rocketservices,rocketservices
1298,rosaviakosmos.ru,rosaviakosmos.ru
1299,rusaerog,rusaerog
1300,scaled.com,scaled.com
1301,thehindubusinessline,thehindubusinessline
1302,usatoday.com,usatoday.com
1303,vafb.mil,vafb.mil
1304,vandenberg.af.mil,vandenberg.af.mil
1305,wff.nasa.gov,wff.nasa.gov
1306,wisconsinproject.org,wisconsinproject.org
1307,wsmr.history.mil,wsmr.history.mil
1308,www.aeb.gov.br,www.aeb.gov.br
1309,www.bellona.no,www.bellona.no
1310,www.cosmoworld.ru,www.cosmoworld.ru
1311,www.crc.com,www.crc.com
1312,www.dcmilitary.com,www.dcmilitary.com
1313,www.defenselink.mil,www.defenselink.mil
1314,www.dod.mil,www.dod.mil
1315,www.energia.ru,www.energia.ru
1316,www.flatoday.com,www.flatoday.com
1317,www.gsfc.nasa.gov,www.gsfc.nasa.gov
1318,www.icrc-hq.com,www.icrc-hq.com
1319,www.ihi.co.jp,www.ihi.co.jp
1320,www.isro.org,www.isro.org
1321,www.laser.inpe.br,www.laser.inpe.br
1322,www.mfa.gov.il,www.mfa.gov.il
1323,www.nlr.nl,www.nlr.nl
1324,www.nti.org,www.nti.org
1325,www.orbital.com,www.orbital.com
1326,www.pfrr.alaska.edu,www.pfrr.alaska.edu
1327,www.phyast.pitt.edu,www.phyast.pitt.edu
1328,www.sandia.gov,www.sandia.gov
1329,www.schnapp.org,www.schnapp.org
1330,www.sea-launch.com,www.sea-launch.com
1331,www.spaceimaging.com,www.spaceimaging.com
1332,www.timmerman2000,www.timmerman2000
1333,www.tsenki.com,www.tsenki.com
1334,www.tsenki.ocm,www.tsenki.ocm
1335,www.wmsr.army.mil,www.wmsr.army.mil
1336,www.wsmr-history.org,www.wsmr-history.org
1337,www.xprize.org,www.xprize.org
1338,xinhuanet.com,xinhuanet.com
1339,redbannernorthernflt,redbannernorthernfleet.blogspot.com
1340,nsf-koenn,Database (author unknown) posted on nasaspaceflight.com by R. Koenn on 2008 Dec 20.
1341,Note01,Serial numbers for the launches on this day may be swapped; launch times from nsf-koenn and serials from Cleary
1342,AA61-0124,AA61-0124
1343,AA62-0048,AA62-0048
1344,AASH26-371,AASH26-371 (AAS History Series)
1345,AASH27-19,AASH27-19
1346,AASH27-295,AASH27-295
1347,AASH28-455,AASH28-455
1348,AASH30-125,AASH30-125
1349,AASH30-239,AASH30-239
1350,AASH30-9,AASH30-9
1351,"AAp162,292","AAp162,292 (Astronomy and Astrophysics)"
1352,"AAp258,555","AAp258,555"
1353,"AAp48,235","AAp48,235"
1354,"AAp50,371","AAp50,371"
1355,"AAp61,635","AAp61,635"
1356,"AAp69,145","AAp69,145"
1357,AD-437681,AD-437681
1358,AD-A283521,AD-A283521
1359,AD-A955411,AD-A955411
1360,AD-A995428,AD-A995428
1361,AD/A-005589,AD/A-005589
1362,AD266714,AD266714
1363,AD272754,AD272754
1364,AD403534,AD403534
1365,AD649116,AD649116
1366,ADS,Astrophysics Data System ads.harvard.edu
1367,AFCRL-68-0009,AFCRL-68-0009
1368,AFCRL-68-0418,AFCRL-68-0418
1369,AFCRL-68-0622,AFCRL-68-0622
1370,AFCRL-69-0241,AFCRL-69-0241
1371,AFCRL-70-0150,AFCRL-70-0150
1372,AFCRL-TG248,AFCRL-TG248
1373,AFCRL-TR-73-0412,AFCRL-TR-73-0412
1374,AFCRL-TR-74-0572,AFCRL-TR-74-0572
1375,AFCRL66-157,AFCRL66-157
1376,AFGL-TR-80-0278,AFGL-TR-80-0278
1377,AFGL-TR-81-0111,AFGL-TR-81-0111
1378,AFGL-TR-83-0055,AFGL-TR-83-0055
1379,AFCRL-68-0132,AFCRL-68-0132
1380,AFWL-TR-68-132,AFWL-TR-68-132
1381,AIAA,AIAA
1382,AIAA-79-1064,AIAA-79-1064
1383,AIAA-92-5053,AIAA-92-5053
1384,AIAA2005-3297,AIAA2005-3297
1385,AIAA2009-7293,AIAA2009-7293
1386,AIAA70-1395,AIAA70-1395
1387,AIAA80-1385,AIAA80-1385
1388,AIAA86-2511,AIAA86-2511
1389,AIAA99-4849,AIAA99-4849
1390,"AJ70,321","AJ70,321"
1391,"AJ90,375","AJ90,375"
1392,"AND/IJRadioSP3,128","AND/IJRadioSP3,128"
1393,AP,Associate Press wire
1394,ARC-Pamphlet,ARC-Pamphlet
1395,ARCNews1-11,ARCNews1-11
1396,ARPA-TR-DAT-1-66,ARPA-TR-DAT-1-66
1397,ASE-1372,ASE-1372
1398,ASE-2017,ASE-2017
1399,ASE-3062,"AS&E 1972, Program of High Res. X-ray Astronomy"
1400,ASI79-1,ASI79-1
1401,"ASR14,9,113","ASR14,9,113 [Advances in Space Research]"
1402,"ASR18,6,335","ASR18,6,335"
1403,"ASR2,10,195","ASR2,10,195"
1404,"ASR2,10,63","ASR2,10,63"
1405,"ASR2,10,93","ASR2,10,93"
1406,"ASR37,1091","ASR37,1091"
1407,"ASR4,4,153","ASR4,4,153"
1408,"ASR5,4,205","ASR5,4,205"
1409,"ASR5,7,35","ASR5,7,35"
1410,"ASR5,7,39","ASR5,7,39"
1411,"ASR7,10,47","ASR7,10,47"
1412,"ASR8,1,79","ASR8,1,79"
1413,"ASR8,197","ASR8,197"
1414,AWST060313-18,AWST060313-18
1415,AWST071029-17,AWST071029-17
1416,AWST660404-69,AWST660404-69
1417,AWST660613-100,AWST660613-100
1418,AWST890327-34,AWST890327-34
1419,AWST891002-22,AWST891002-22
1420,AWST900101-40,AWST900101-40
1421,AWST900416-25,AWST900416-25
1422,AWST900521-34,AWST900521-34
1423,AWST910506-69,AWST910506-69
1424,"ActaA61,534","ActaA61,534"
1425,"AdvSpaRes10,10,123","AdvSpaRes10,10,123"
1426,AeChina2008-5,AeChina2008-5
1427,"AnAp31,597","AnAp31,597"
1428,AndersonDlyBul590423,AndersonDlyBul590423
1429,"AnnGeoph18,141","AnnGeoph18,141"
1430,"ApJ127,67","ApJ127,67"
1431,"ApJ175,493","ApJ175,493"
1432,"ApJ178,377","ApJ178,377"
1433,"ApJ201,L15","ApJ201,L15"
1434,"ApJ202,L15","ApJ202,L15"
1435,"ApJ202,L21","ApJ202,L21"
1436,"ApJ205,426","ApJ205,426"
1437,"ApJ222,365","ApJ222,365"
1438,"ApJ222,L95","ApJ222,L95"
1439,"ApJ227,884","ApJ227,884"
1440,"ApJ234,415","ApJ234,415"
1441,"ApJ292,687","ApJ292,687"
1442,"ApJ391,L81","ApJ391,L81"
1443,"ApJ430,568","ApJ430,568"
1444,"ApJ521,920","ApJ521,920"
1445,"ApplOpt10,1043","ApplOpt10,1043"
1446,"ApplOpt23,2327","ApplOpt23,2327"
1447,"ApplOpt5,1732","ApplOpt5,1732"
1448,"ApplOpt9,4,903","ApplOpt9,4,903"
1449,Astronautics6107,Astronautics6107
1450,"BAAS31,1537","BAAS31,1537"
1451,BMDS-TestList,BMDS-TestList
1452,BRL-CON169,BRL-CON169
1453,BRL-MR1771,BRL-MR1771
1454,BRL-MR1825,BRL-MR1825
1455,BRL-TN1657,BRL-TN1657
1456,BT-1040.04,BT-1040.04
1457,BT1037.21,BT1037.21
1458,Bell,Bell
1459,Bumper4Rpt,Bumper4Rpt
1460,Bumper5Rpt,Bumper5Rpt
1461,Bumper6RPt,Bumper6RPt
1462,CD-82513,CD-82513
1463,CIAWMD,CIAWMD
1464,"CNES/SR8,444","CNES/SR8,444"
1465,COSPAR2006,COSPAR2006
1466,COSPAR2006-A-00253,COSPAR2006-A-00253
1467,CP-2071,CP-2071
1468,CR-1529,CR-1529
1469,CR-163494,CR-163494
1470,CR-218,CR-218
1471,CR-61238,CR-61238
1472,CR-68050,CR-68050
1473,CR-70324,CR-70324
1474,CR-70506,CR-70506
1475,CR-76317,CR-76317
1476,CR-76500,CR-76500
1477,CR-76571,CR-76571
1478,CR-77312,CR-77312
1479,CR-77710,CR-77710
1480,CR-78234,CR-78234
1481,CR-79096,CR-79096
1482,CR-81705,CR-81705
1483,CR-88008,CR-88008
1484,CWSSV,CWSSV
1485,"CanJPhys44,2948","CanJPhys44,2948"
1486,"CanJPhys64,1412","CanJPhys64,1412"
1487,"CanJPhys64,1426","CanJPhys64,1426"
1488,"CanJPhys67,82","CanJPhys67,82"
1489,Chertok,Chertok
1490,Chertok3,Chertok3
1491,ChicagoDlyHer890915,ChicagoDlyHer890915
1492,Corp-Hist,Corp-Hist
1493,"CurrSci89,475","CurrSci89,475"
1494,DCI-NID-880301,DCI-NID-880301
1495,DEFE7.2160,DEFE7.2160
1496,DNA-4369F,DNA-4369F
1497,DNA-TR-91-132,DNA-TR-91-132
1498,DNA-TR-95-68,DNA-TR-95-68
1499,DOE/EA-0492,DOE/EA-0492
1500,DOMINIC,DOMINIC
1501,DTIC,DTIC
1502,DailySentinel670929,DailySentinel670929
1503,Delo/Siddiqi,Delo/Siddiqi
1504,DeseretNews650203,DeseretNews650203
1505,ECOM-5030,ECOM-5030
1506,ECOM-5105,ECOM-5105
1507,ECOM-5588,ECOM-5588
1508,ESA-SP-530,ESA-SP-530
1509,ESA-SP152-269/AND,ESA-SP152-269/AND
1510,ESA-SP152-301/AND,ESA-SP152-301/AND
1511,ESA-SP152-9,ESA-SP152-9
1512,ESA-SP160-325,ESA-SP160-325
1513,ESA-SP317-381,ESA-SP317-381
1514,ESA-SP317-75,ESA-SP317-75
1515,ESA-SP355-123,ESA-SP355-123
1516,ESA-SP355-45,ESA-SP355-45
1517,ESA-SP647-241,ESA-SP647-241
1518,ESA-TN-132,ESA-TN-132
1519,ESASP590-167,ESASP590-167
1520,ESRO-SP-67,ESRO-SP-67
1521,ESRO-SP-76,ESRO-SP-76
1522,ESRO-SP-77,ESRO-SP-77
1523,ESRO-SP-79,ESRO-SP-79
1524,ESRO-SP77,ESRO-SP77
1525,ESRO-SP78,ESRO-SP78
1526,ESRO-SP80,ESRO-SP80
1527,ETR/UM,ETR/UM
1528,ElPasoHeraldPo,ElPasoHeraldPo
1529,ElPasoHeraldPo/MST?,ElPasoHeraldPo/MST?
1530,ElPasoTimes640709,ElPasoTimes640709
1531,Envelope,Envelope
1532,FC,FC
1533,FC/UM-HA,FC/UM-HA
1534,FC/WI-PR64-7,FC/WI-PR64-7
1535,FI640723-162,FI640723-162
1536,FirstDayCov,FirstDayCov
1537,FirstDayCover,FirstDayCover
1538,FlashFlight22,FlashFlight22
1539,FresnoBee590228,FresnoBee590228
1540,GAN Post720710,GAN Post720710
1541,GDC/BKF67-035,GDC/BKF67-035
1542,GE-635D823,GE-635D823
1543,"GRL2,285","GRL2,285"
1544,"GRL24,1667","GRL24,1667"
1545,"GRL24,1691","GRL24,1691"
1546,"GRL31,L19807","GRL31,L19807"
1547,"GRL4,75","GRL4,75"
1548,"GeomagAeron35,515","GeomagAeron35,515"
1549,"Goldberg,etal","Goldberg,etal"
1550,"Grahn,pc","Grahn,pc"
1551,HAER-NikeAK,HAER-NikeAK
1552,Hollinger04,Hollinger04
1553,IAA-00-IAA.2.03,IAA-00-IAA.2.03
1554,IAC-02-IAA.2.3.01,IAC-02-IAA.2.3.01
1555,IAC-04.IAA.6.15.3.07,IAC-04.IAA.6.15.3.07
1556,IAC-05.E4.3.02,IAC-05.E4.3.02
1557,IAC-06-E4.4-05,IAC-06-E4.4-05
1558,IAC-4-IAF-J.5.05,IAC-4-IAF-J.5.05
1559,IAC03-IIA2.3.05,IAC03-IIA2.3.05
1560,"IAUS36,274","IAUS36,274"
1561,"ICRC5,3039","ICRC5,3039"
1562,"IEEE-NS19,1,628","IEEE-NS19,1,628"
1563,IHJ-History,IHJ-History
1564,"IJRSP10,16","IJRSP10,16"
1565,"IJRSP10,197","IJRSP10,197"
1566,"IJRSP15,125","IJRSP15,125"
1567,"IJRSP15,412","IJRSP15,412"
1568,"IJRSP16,215","IJRSP16,215"
1569,"IJRSP16,25","IJRSP16,25"
1570,"IJRSP18,224","IJRSP18,224"
1571,"IJRSP19,215","IJRSP19,215"
1572,"IJRSP19,29","IJRSP19,29"
1573,"IJRSP24,35","IJRSP24,35"
1574,"IJRSP6,281","IJRSP6,281"
1575,"IJRSP7,90","IJRSP7,90"
1576,"IJSRP13,48","IJSRP13,48"
1577,"IJSRP18,224","IJSRP18,224"
1578,INS,INS
1579,ISRJ,ISRJ
1580,"ISRJ20-480,JRRL13,75","ISRJ20-480,JRRL13,75"
1581,ISRO-poster,ISRO-poster
1582,ISRO93-94,ISRO93-94
1583,ISROReport2006,ISROReport2006
1584,ITAR-TASS,ITAR-TASS
1585,InsideWallops061807,InsideWallops061807
1586,"JASTP63,1831","JASTP63,1831"
1587,"JATP41,1171","JATP41,1171"
1588,"JATP52,815","JATP52,815"
1589,JAircraft6705-265,JAircraft6705-265
1590,JAircraft6901-74,JAircraft6901-74
1591,"JApMet4,238","JApMet4,238"
1592,"JAtSci26,874","JAtSci26,874"
1593,"JAtSci33,659/FC","JAtSci33,659/FC"
1594,"JAtSci33,695","JAtSci33,695"
1595,"JGR100,A9,17265","JGR100,A9,17265"
1596,"JGR100,D5,9209","JGR100,D5,9209"
1597,"JGR101,7917","JGR101,7917"
1598,"JGR102,11557","JGR102,11557"
1599,"JGR102,26179","JGR102,26179"
1600,"JGR103,23399","JGR103,23399"
1601,"JGR105,23025","JGR105,23025"
1602,"JGR110,A04309","JGR110,A04309"
1603,"JGR61,45","JGR61,45"
1604,"JGR61,77","JGR61,77"
1605,"JGR68,6208","JGR68,6208"
1606,"JGR73,299","JGR73,299"
1607,"JGR73,3353","JGR73,3353"
1608,"JGR73,4813","JGR73,4813"
1609,"JGR74,351","JGR74,351"
1610,"JGR78,1107","JGR78,1107"
1611,"JGR78,1608","JGR78,1608"
1612,"JGR78,2010","JGR78,2010"
1613,"JGR78,2265","JGR78,2265"
1614,"JGR78,258","JGR78,258"
1615,"JGR78,7023","JGR78,7023"
1616,"JGR78,746","JGR78,746"
1617,"JGR78,8033","JGR78,8033"
1618,JGR78.6140,JGR78.6140
1619,"JGR82,5073","JGR82,5073"
1620,"JGR86,A3,1437","JGR86,A3,1437"
1621,"JGR91,A6,7079","JGR91,A6,7079"
1622,"JGR91,D13,14521","JGR91,D13,14521"
1623,"JGR92,239","JGR92,239"
1624,"JGR92,D5,5573","JGR92,D5,5573"
1625,"JGR94,D2,2239","JGR94,D2,2239"
1626,"JGR95,4113","JGR95,4113"
1627,JJSerra,JJSerra
1628,JPL-CBS1,JPL-CBS1
1629,JPL-CBS3,JPL-CBS3
1630,"JScR24,444","JScR24,444"
1631,"JScR43,105","JScR43,105"
1632,"JScR43,186","JScR43,186"
1633,"JScR6,460","JScR6,460"
1634,"JScR6,495","JScR6,495"
1635,JanesIR,JanesIR
1636,"KPNO/ApJ195,643","KPNO/ApJ195,643"
1637,LEAP-TD-EA,LEAP-TD-EA
1638,LR880906,LR880906
1639,LawtonCon630418,LawtonCon630418
1640,LawtonCon640319,LawtonCon640319
1641,LawtonConst611217,LawtonConst611217
1642,LawtonConst650528,LawtonConst650528
1643,LawtonConst660720,LawtonConst660720
1644,"LincolnLabJ12,383","LincolnLabJ12,383"
1645,Lissov/TLE,Lissov/TLE
1646,LongBeachInd620309,LongBeachInd620309
1647,LongBeachInd660712,LongBeachInd660712
1648,LowellSun601104,LowellSun601104
1649,MAPH26,MAPH26
1650,MKRS,MKRS
1651,MM-newsletter,MM-newsletter
1652,MMariettaNews040125,MMariettaNews040125
1653,"MN178,57P","MN178,57P"
1654,MR600516-12,MR600516-12
1655,MR600627-17,MR600627-17
1656,MR600801-23,MR600801-23
1657,MR601212-11,MR601212-11
1658,MR610522-16,MR610522-16
1659,MR610605-21,MR610605-21
1660,MR610703-43,MR610703-43
1661,MR610925-10,MR610925-10
1662,MR620101-7,MR620101-7
1663,MR620212-24,MR620212-24
1664,MR620312-10,MR620312-10
1665,MR620319-11,MR620319-11
1666,MR620409-10,MR620409-10
1667,MR620416-10,MR620416-10
1668,MR620507-10,MR620507-10
1669,MR620514-10,MR620514-10
1670,MR620723-10,MR620723-10
1671,MR620903-10,MR620903-10
1672,MR621008-10,MR621008-10
1673,MR621029-5,MR621029-5
1674,MR621112-10,MR621112-10
1675,MR621119-9,MR621119-9
1676,MR621210-12,MR621210-12
1677,MR630318-10/Wire,MR630318-10
1678,MR630826-14,MR630826-14
1679,MR630902-10,MR630902-10
1680,MR630930-18,MR630930-18
1681,MR631007-20/Wire,MR631007-20
1682,MR631021-13,MR631021-13
1683,MR631028-12,MR631028-12
1684,MR631104-10,MR631104-10
1685,MR631104-11,MR631104-11
1686,MR631125-19/UPI,MR631125-19
1687,MR631125-28/Wire,MR631125-28
1688,MR641221-21,MR641221-21
1689,MR650309-10/Wire,MR650309-10
1690,MR670515-16/Wire,MR670515-16
1691,MRN54,MRN54
1692,MS5-65,MS5-65
1693,"McCandliss,pc","McCandliss,pc"
1694,Mishap-86-4-18-701,Mishap-86-4-18-701
1695,"Missileer48,21","Missileer48,21"
1696,"MitAG58,89","MitAG58,89"
1697,"MoWxRev88,187","MoWxRev88,187"
1698,"MoWxRev88,191","MoWxRev88,191"
1699,"MoWxRev97,607","MoWxRev97,607"
1700,MoabTInd710819,MoabTInd710819
1701,MoabTIndep640604,MoabTIndep640604
1702,MoabTIndep641001,MoabTIndep641001
1703,MoabTIndep641008,MoabTIndep641008
1704,MoabTIndep650218,MoabTIndep650218
1705,MoabTIndep650624,MoabTIndep650624
1706,MoabTIndep650916,MoabTIndep650916
1707,MoabTIndep680627,MoabTIndep680627
1708,MoabTIndep681219,MoabTIndep681219
1709,MoabTIndep690501,MoabTIndep690501
1710,MoabTIndep690911,MoabTIndep690911
1711,MoabTIndep701001,MoabTIndep701001
1712,MoabTIndep710114,MoabTIndep710114
1713,MoabTIndep710408,MoabTIndep710408
1714,MoabTIndep710422,MoabTIndep710422
1715,MoabTIndep710520,MoabTIndep710520
1716,MoabTIndep710617,MoabTIndep710617
1717,MorrowPines,MorrowPines
1718,Moulin-Serra,Moulin-Serra
1719,Moulin/Serra,Moulin/Serra
1720,Mugu-PR,Mugu-PR
1721,NAS-PR78-93,NAS-PR78-93
1722,NASA-PR,NASA-PR
1723,NASA-PR-60-259A,NASA-PR-60-259A
1724,NASA-PR60-145,NASA-PR60-145
1725,NASA-PR60-158,NASA-PR60-158
1726,NASA-PR61-27,NASA-PR61-27
1727,NASA-PR78-93,NASA-PR78-93
1728,NASA-PR95-68,NASA-PR95-68
1729,NASA-TV,NASA-TV
1730,NASDA-PR,NASDA-PR
1731,NHercHistory,NHercHistory
1732,NIE13-8-71,NIE13-8-71
1733,NIE13-8-74,NIE13-8-74
1734,NJ0805-42,NJ0805-42
1735,NK-FORUM,NK-FORUM
1736,NK0409-27,Novosti Kosmonavtiki 0409-27
1737,NK0410-07,Novosti Kosmonavtiki 0410-07
1738,NK0410-25,Novosti Kosmonavtiki 0410-25
1739,NK0411-39,Novosti Kosmonavtiki 0411-39
1740,NK0411-40,Novosti Kosmonavtiki 0411-40
1741,NK0412-02,Novosti Kosmonavtiki 0412-02
1742,NK0412-32,Novosti Kosmonavtiki 0412-32
1743,NK0412-37,Novosti Kosmonavtiki 0412-37
1744,NK0501-25,Novosti Kosmonavtiki 0501-25
1745,NK0502-11,Novosti Kosmonavtiki 0502-11
1746,NK0502-21,Novosti Kosmonavtiki 0502-21
1747,NK0502-36,Novosti Kosmonavtiki 0502-36
1748,NK0503-17,Novosti Kosmonavtiki 0503-17
1749,NK0503-43,Novosti Kosmonavtiki 0503-43
1750,NK0504-06,Novosti Kosmonavtiki 0504-06
1751,NK0504-27,Novosti Kosmonavtiki 0504-27
1752,NK0505-06,Novosti Kosmonavtiki 0505-06
1753,NK0505-11,Novosti Kosmonavtiki 0505-11
1754,NK0506-01,Novosti Kosmonavtiki 0506-01
1755,NK0506-68,Novosti Kosmonavtiki 0506-68
1756,NK0507-17,Novosti Kosmonavtiki 0507-17
1757,NK0508-01,Novosti Kosmonavtiki 0508-01
1758,NK0508-08,Novosti Kosmonavtiki 0508-08
1759,NK0508-09,Novosti Kosmonavtiki 0508-09
1760,NK0508-16,Novosti Kosmonavtiki 0508-16
1761,NK0510-11,Novosti Kosmonavtiki 0510-11
1762,NK0510-13,Novosti Kosmonavtiki 0510-13
1763,NK0510-16,Novosti Kosmonavtiki 0510-16
1764,NK0511-03,Novosti Kosmonavtiki 0511-03
1765,NK0511-06,Novosti Kosmonavtiki 0511-06
1766,NK0511-14,Novosti Kosmonavtiki 0511-14
1767,NK0512-02,Novosti Kosmonavtiki 0512-02
1768,NK0512-32,Novosti Kosmonavtiki 0512-32
1769,NK0512-34,Novosti Kosmonavtiki 0512-34
1770,NK0601-01,Novosti Kosmonavtiki 0601-01
1771,NK0601-08,Novosti Kosmonavtiki 0601-08
1772,NK0602-13,Novosti Kosmonavtiki 0602-13
1773,NK0602-24,Novosti Kosmonavtiki 0602-24
1774,NK0602-32,Novosti Kosmonavtiki 0602-32
1775,NK0602-36,Novosti Kosmonavtiki 0602-36
