,IDT,IDName,Name,Rho,IFac,PoleRA,PoleDec,Meridian,SpinRate,J2,J4,J6,PoleRARate,PoleDecDec,PoleFunc,SpinFunc,InitFunc,JFile
15,P,801,Triton,2.06,0.33,299.3600,41.1700,296.5300,-61.2572637,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
16,P,009,Pluto,1.88,0.31,132.9930,-6.1630,302.6950,56.3625225,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
17,P,703,Titania,1.71,0.33,257.4300,-15.1000,77.7400,-41.3514316,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
18,P,605,Rhea,1.24,0.40,40.3800,83.5500,235.1600,79.6900478,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
19,P,704,Oberon,1.63,0.33,257.4300,-15.1000,6.7700,-26.7394932,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
20,P,608,Iapetus,1.09,0.33,318.1600,75.0300,355.2000,4.5379572,0.00,0.00,0.00,-3.9490,-1.1430,PMF,SSAT,,
21,P,901,Charon,1.71,0.31,132.9930,-6.1630,122.6950,56.3625225,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
22,P,702,Umbriel,1.39,0.33,257.4300,-15.1000,108.0500,-86.8688923,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
23,P,701,Ariel,1.59,0.33,257.4300,-15.1000,156.2200,-142.8356681,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
24,P,604,Dione,1.48,0.33,40.6600,83.5200,357.6000,131.5349316,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
25,P,603,Tethys,0.99,0.33,40.6600,83.5200,8.9500,190.6979085,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
26,A,(1),Ceres,2.08,0.33,291.0000,59.0000,170.9000,952.1532000,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
27,A,(4),Vesta,3.42,0.33,305.8000,41.4000,292.0000,1617.3327760,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
28,A,(2),Pallas,3.00,0.33,33.0000,-3.0000,38.0000,1105.8036000,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
29,P,602,Enceladus,1.61,0.33,40.6600,83.5200,6.3200,262.7318996,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
30,P,705,Miranda,1.20,0.33,257.4300,-15.0800,30.7000,-254.6906892,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
31,P,808,Proteus,1.30,0.33,299.2700,42.9100,93.3800,320.7654228,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
32,P,601,Mimas,1.15,0.38,40.6600,83.5200,333.4600,381.9945550,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
33,P,607,Hyperion,0.55,0.33,0.0000,90.0000,0.0000,16.9205000,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
34,P,802,Nereid,1.30,0.33,313.0000,15.8100,0.0000,745.2130400,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
35,A,(511),Davida,2.97,0.33,297.0000,5.0000,268.1000,1684.4193549,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
36,A,(52),Europa,1.50,0.33,257.0000,12.0000,55.0000,1534.6472187,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
37,P,807,Larissa,1.20,0.33,299.3600,43.4100,179.4100,649.0534470,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
38,P,609,Phoebe,1.64,0.33,356.9000,77.8000,178.5800,931.6390000,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
39,P,610,Janus,0.63,0.33,40.5800,83.5200,293.8700,518.4907239,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
40,P,806,Galatea,0.75,0.33,299.3600,43.4300,258.0900,839.6597686,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
41,P,805,Despina,1.20,0.33,299.3600,43.4500,306.5100,1075.7341562,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
42,P,715,Puck,1.30,0.33,257.3100,-15.1800,91.2400,-472.5450690,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
43,P,712,Portia,1.30,0.33,257.3100,-15.1800,25.0300,-701.4865870,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
