,JCAT,Name
301,A04463,Спускаемая Капсула
302,A04468,Спускаемая Капсула
303,A04474,Спускаемая Капсула
304,A04483,Спускаемая Капсула
305,A04487,Спускаемая Капсула
306,A04513,Космос-1917
307,A04514,Космос-1918
308,A04516,Спускаемая Капсула
309,A04519,Спускаемая Капсула
310,A04531,Спускаемая Капсула
311,A04533,Спускаемая Капсула
312,A04544,Спускаемая Капсула
313,A04549,Спускаемая Капсула
314,A04562,Долгоживущая Автономная Станция
315,A04564,Спускаемая Капсула
316,A04568,Спускаемая Капсула
317,A04573,Спускаемая Капсула
318,A04587,Спускаемая Капсула
319,A04602,Спускаемая Капсула
320,A04606,Спускаемая Капсула
321,A04611,БДП
322,A04628,Спускаемая Капсула
323,A04631,Спускаемая Капсула
324,A04642,Спускаемая Капсула
325,A04647,Спускаемая Капсула
326,A04656,Спускаемая Капсула
327,A04658,Долгоживущая Автономная Станция
328,A04659,ПРОП-ФП
329,A04663,Спускаемая Капсула
330,A04675,Космос-1453 ЭСО
331,A04676,Космос-1453 ЭСО
332,A04679,Спускаемая Капсула
333,A04683,Спускаемая Капсула
334,A04685,Спускаемая Капсула
335,A04692,Спускаемая Капсула
336,A04699,Спускаемая Капсула
337,A04701,Спускаемая Капсула
338,A04703,Спускаемая Капсула
339,A04705,Спускаемая Капсула
340,A04707,Спускаемая Капсула
341,A04718,Спускаемая Капсула
342,A04722,Спускаемая Капсула
343,A04725,Спускаемая Капсула
344,A04726,Спускаемая Капсула
345,A04727,Спускаемая Капсула
346,A04752,Спускаемая Капсула
347,A04756,Спускаемая Капсула
348,A04757,Космос-1662 ЭСО
349,A04770,Спускаемая Капсула
350,A04780,Спускаемая Капсула
351,A04788,СПК 21КС
352,A04791,Спускаемая Капсула
353,A04800,Спускаемая Капсула
354,A04849,Спускаемая Капсула
355,A04853,Спускаемая Капсула
356,A04869,Спускаемая Капсула
357,A04874,Спускаемая Капсула
358,A04891,Спускаемая Капсула
359,A04894,Спускаемая Капсула
360,A04896,Спускаемая Капсула
361,A04898,Спускаемая Капсула
362,A04900,Спускаемая Капсула
363,A04901,Спускаемая Капсула
364,A04903,Спускаемая Капсула
365,A04912,Спускаемая Капсула
366,A04913,Спускаемая Капсула
367,A04919,ВБК Радуга
368,A04920,Спускаемая Капсула
369,A04935,Спускаемая Капсула
370,A04939,Спускаемая Капсула
371,A04944,Радио РС-14
372,A04947,Спускаемая Капсула
373,A04950,Спускаемая Капсула
374,A04984,Спускаемая Капсула
375,A05000,Спускаемая Капсула
376,A05001,ВБК Радуга
377,A05018,Спускаемая Капсула
378,A05022,Спускаемая Капсула
379,A05047,ВБК Радуга
380,A05051,Спускаемая Капсула
381,A05052,Спускаемая Капсула
382,A05054,Спускаемая Капсула
383,A05055,Спускаемая Капсула
384,A05057,Спускаемая Капсула
385,A05058,Спускаемая Капсула
386,A05060,Спускаемая Капсула
387,A05062,Спускаемая Капсула
388,A05073,Спускаемая Капсула
389,A05074,Спускаемая Капсула
390,A05090,Спускаемая Капсула
391,A05093,Спускаемая Капсула
392,A05095,ВБК Радуга
393,A05106,Спускаемая Капсула
394,A05107,Космос-2075 ЭСО
395,A05108,Космос-2075 ЭСО
396,A05109,Космос-2075 ЭСО
397,A05110,Космос-2075 ЭСО
398,A05111,Космос-2075 ЭСО
399,A05112,Космос-2075 ЭСО
400,A05113,Космос-2075 ЭСО
401,A05114,Космос-2075 ЭСО
402,A05115,Космос-2075 ЭСО
403,A05116,Космос-2075 ЭСО
404,A05117,Космос-2075 ЭСО
405,A05121,Спускаемая Капсула
406,A05137,Спускаемая Капсула
407,A05165,Спускаемая Капсула
408,A05175,Спускаемая Капсула
409,A05186,Спускаемая Капсула
410,A05208,Спускаемая Капсула
411,A05213,Спускаемая Капсула
412,A05232,Спускаемая Капсула
413,A05236,ВБК Радуга
414,A05250,Спускаемая Капсула
415,A05269,Спускаемая Капсула
416,A05272,Спускаемая Капсула
417,A05274,Спускаемая Капсула
418,A05275,Спускаемая Капсула
419,A05277,Спускаемая Капсула
420,A05285,Спускаемая Капсула
421,A05287,Спускаемая Капсула
422,A05290,Спускаемая Капсула
423,A05292,Спускаемая Капсула
424,A05294,Спускаемая Капсула
425,A05295,Спускаемая Капсула
426,A05299,Спускаемая Капсула
427,A05319,Спускаемая Капсула
428,A05333,Спускаемая Капсула
429,A05354,ВБК Радуга
430,A05360,Спускаемая Капсула
431,A05362,Спускаемая Капсула
432,A05380,Спускаемая Капсула
433,A05381,Спускаемая Капсула
434,A05383,Спускаемая Капсула
435,A05384,Спускаемая Капсула
436,A05385,ВБК Радуга
437,A05386,Спускаемая Капсула
438,A05397,Спускаемая Капсула
439,A05400,Спускаемая Капсула
440,A05401,Спускаемая Капсула
441,A05402,ВБК Радуга
442,A05490,Спускаемая Капсула
443,A05492,Спускаемая Капсула
444,A05497,ВБК Радуга
445,A05515,Спускаемая Капсула
446,A05518,Спускаемая Капсула
447,A05520,Спускаемая Капсула
448,A05539,Спускаемая Капсула
449,A05541,Спускаемая Капсула
450,A05556,Спускаемая Капсула
451,A05559,Спускаемая Капсула
452,A05561,Спускаемая Капсула
453,A05576,Спускаемая Капсула
454,A05578,Спускаемая Капсула
455,A05580,Спускаемая Капсула
456,A05583,Спускаемая Капсула
457,A05585,Спускаемая Капсула
458,A05587,Спускаемая Капсула
459,A05593,Спускаемая Капсула
460,A05595,Спускаемая Капсула
461,A05600,Спускаемая Капсула
462,A05602,Спускаемая Капсула
463,A05614,Спускаемая Капсула
464,A05617,Спускаемая Капсула
465,A05628,Спускаемая Капсула
466,A05632,Спускаемая Капсула
467,A05634,Спускаемая Капсула
468,A05639,Спускаемая Капсула
469,A05643,Спускаемая Капсула
470,A05645,Спускаемая Капсула
471,A05663,Спускаемая Капсула
472,A05667,Спускаемая Капсула
473,A05709,Стыковочный Отсек
474,A05784,Спускаемая Капсула
475,A05787,Спускаемая Капсула
476,A05836,Марс-96
477,A05838,Малая автономная станция (МАС)
478,A05839,Малая автономная станция (МАС)
479,A05840,Пенетратор
480,A05841,Пенетратор
481,A05927,Спускаемая Капсула
482,A05930,Спускаемая Капсула
483,A05935,Спускаемая Капсула
484,A05949,Спускаемая Капсула
485,A05951,Спускаемая Капсула
486,A05964,Спускаемая Капсула
487,A05969,Спускаемая Капсула
488,A05975,Спускаемая Капсула
489,A06049,Спускаемая Капсула
490,A06059,Спускаемая Капсула
491,A06104,Спускаемая Капсула
492,A06109,Спускаемая Капсула
493,A06213,Спускаемая Капсула
494,A06219,Спускаемая Капсула
495,A06260,Демонстратор-1 НТУ
496,A06346,Спускаемая Капсула
497,A06348,Спускаемая Капсула
498,A06349,Космос-2306 ЭСО
499,A06350,Космос-2306 ЭСО
500,A06351,Космос-2306 ЭСО
501,A06352,Космос-2306 ЭСО
502,A06353,Космос-2306 ЭСО
503,A06355,Спускаемая Капсула
504,A06357,Спускаемая Капсула
505,A06367,Спускаемая Капсула
506,A06369,Спускаемая Капсула
507,A06419,Спускаемая Капсула
508,A06421,Спускаемая Капсула
509,A06426,Спускаемая Капсула
510,A06428,Спускаемая Капсула
511,A06431,Спускаемая Капсула
512,A06433,Спускаемая Капсула
513,A06450,Спускаемая Капсула
514,A06452,Спускаемая Капсула
515,A06455,Спускаемая Капсула
516,A06457,Спускаемая Капсула
517,A06480,Спускаемая Капсула
518,A06482,Спускаемая Капсула
519,A06486,Спускаемая Капсула
520,A06488,Спускаемая Капсула
521,A06490,Спускаемая Капсула
522,A06492,Спускаемая Капсула
523,A06528,Спускаемая Капсула
524,A06576,Спускаемая Капсула
525,A06581,Пирс
526,A06644,Спускаемая Капсула
527,A06684,Спускаемая Капсула
528,A06809,ГВМ Монитор-Э
529,A06813,Спускаемая Капсула
530,A06815,Спускаемая Капсула
531,A06816,Спускаемая Капсула
532,A06821,Спускаемая Капсула
533,A06824,Спускаемая Капсула
534,A06827,Спускаемая Капсула
535,A06832,Спускаемая Капсула
536,A06895,Спускаемая Капсула
537,A06896,Облик
538,A06900,Спускаемая Капсула
539,A06992,Можаец-5
540,A07010,ソーラーセイルサブペイロード
541,A07019,Спускаемая Капсула
542,A07025,Спускаемая Капсула
543,A07116,Спускаемая Капсула
544,A07119,Спускаемая Капсула
545,A07125,Спускаемая Капсула
546,A07127,Спускаемая Капсула
547,A07128,Спускаемая Капсула
548,A07129,Спускаемая Капсула
549,A07130,Спускаемая Капсула
550,A07131,Спускаемая Капсула
551,A07252,Спускаемая Капсула
552,A07256,Спускаемая Капсула
553,A07398,きぼう
554,A07460,Спускаемая Капсула
555,A07463,Спускаемая Капсула
556,A07549,Спускаемая Капсула
557,A07553,Спускаемая Капсула
558,A07615,IRIS/Фрегат
559,A07627,Прогресс М-MИM2 ПАО
560,A07725,Рассвет
561,A07749,Спускаемая Капсула
562,A07759,Спускаемая Капсула
563,A07869,Спускаемая Капсула
564,A07874,Спускаемая Капсула
565,A07892,СА Фобос-Грунт
566,A07930,Спускаемая Капсула
567,A07940,Спускаемая Капсула
568,A07977,蜂鸟一号A（子星）
569,A08009,鲲鹏七号
570,A08071,玉兔号
571,A08211,Спускаемая Капсула
572,A08213,Спускаемая Капсула
573,A08363,Спускаемая Капсула
574,A08365,Спускаемая Капсула
575,A08387,多用途飞船缩比返回舱
576,A08388,天源一号
577,A08468,空间实验一号
578,A08469,星辰号飞卫星1
579,A08470,星辰号飞卫星2
580,A08471,星辰号飞卫星3
581,A08472,星辰号飞卫星4
582,A08473,紫荆1号
583,A09204,みお
584,A09236,玉兔二号
585,A09449,Блиц-М
586,A09463,星时代-6
587,A09464,央视未来新星验证载荷
588,A09471,气球卫星
589,A09601,着陆平台
590,A09604,火星车
591,A09653,嫦娥五号着陆器
592,A09654,嫦娥五号上升器
593,A09655,嫦娥五号返回器
594,A09656,轨道器与着陆器连接支架
595,A09657,交会对接机构
596,F00008,[ИСЗ]
597,F00040,[АМС Луна]
598,F00044,[АМС Луна]
599,F00054,[АМС Луна]
600,F00064,[АМС Луна]
601,F00098,[Луна-4]
602,F00108,[Корабль-Спутник]
603,F00117,[АМС Марс]
604,F00123,[АМС Марс]
605,F00140,[Корабль-Спутник]
606,F00174,Космос
607,F00182,[Космос-1]
608,F00185,[Космос-1]
609,F00206,[Космос-6]
610,F00211,[Космос-12]
611,F00220,[Луна-4]
612,F00221,АЛС
613,F00240,[Космос-14]
614,F00250,[Космос-19]
615,F00256,[Космос-19]
616,F00259,Космос
617,F00265,Космос
618,F00272,[Космос-23]
619,F00277,[Зонд]
620,F00278,Спускаемий Аппарат
621,F00286,[Луна-5]
622,F00287,АЛС
623,F00301,[Луна-5]
624,F00302,АЛС
625,F00311,Молния-1
626,F00324,Космос
627,F00325,Космос
628,F00326,Космос
629,F00328,Космос
630,F00332,Космос
631,F00334,Космос
632,F00340,[Луна-5]
633,F00341,АЛС
634,F00352,Космос
635,F00363,Космос
636,F00367,Космос
637,F00369,[Протон-3]
638,F00375,Молния-1
639,F00384,[Космос]
640,F00401,[Космос]
641,F00406,Космос
642,F00410,[Союз]
643,F00418,[Космос]
644,F00430,[Космос]
645,F00433,Космос
646,F00435,[Космос]
647,F00440,[Космос]
648,F00443,Космос
649,F00448,[Зонд-4]
650,F00453,[Зонд-4]
651,F00457,[Луна]
652,F00461,Космос
653,F00466,[Зонд-5]
654,F00472,Космос
655,F00474,Космос
656,F00506,[Зонд-7]
657,F00511,[Космос]
658,F00514,[Метеор]
659,F00518,[Луна-15]
660,F00519,[Луноход]
661,F00525,Л-1С
662,F00532,[Марс-2]
663,F00536,[Марс-2]
664,F00540,[Луна-15]
665,F00542,[ВА]
666,F00550,Л-1С
667,F00556,Космос
668,F00566,[Космос-313]
669,F00569,Космос
670,F00571,Космос
671,F00575,[Луна-16]
672,F00577,ВА
673,F00581,Космос
674,F00585,Космос
675,F00587,[Космос]
676,F00599,Космос
