,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
2447,A02448,NNA R,1974-043,C  MR,Priborniy otsek,PO,1974 Jun 13,S07334,1974 Jun 26 0357?,Earth,1974 Jun 26 0401?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Jun 26,-193,,238,,62.81,,SO,,
2448,A02449,NNA R,1974-020,C  MR,SVM-3,SVM-3,1974 Apr 10,A02450,1974 Jun 26 2132?,Earth,1974 Jun 26 2137?,R,,NRO,US,AJSP,SVM-3,,100,,30,,0,,1.0,,0.8,,1.0,,Truss + Sphere + Cone,1974 Jun 26,-247,,250,,94.44,,SO,,
2449,A02450,NNA T,1974-020,PX-RT--,SRV Mission 1208-3,SRV-3,1974 Apr 10,S07242,1974 Jun 26 2132?,Earth,1974 Jun 26 2207?,L,POR MAR,NRO,US,MDASL,SRV Mk 8,,630,,630,,0,,1.4,,1.5,,1.5,,Rounded Cone,1974 Jun 26,149,,268,,94.44,,LLEO/P,,
2450,A02451,NNA R,1974-042,C  MR,Star 12,Star 12,1974 Jun  6,A02452,1974 Jun 30 2140?,Earth,1974 Jun 30 2147?,R,,NRO/SAFSP,US,THKE,Star 12,,33,,10,,0,,0.3,,0.3,,0.3,,Cyl + Cone,1974 Jun 30,-189,,308,,110.46,,SO,,
2451,A02452,NNA T,1974-042,PX-RT--,SRV Mission 4342-1,SRV-1,1974 Jun  6,A02457,1974 Jun 30 2140?,Earth,1974 Jun 30 2205?,L,POR,NRO/SAFSP,US,GERSD,SRV,Star 12,157,,157,,157,,0.8,,0.7,,0.8,,Cone,1974 Jun 30,115,,424,,110.46,,LLEO/R,,
2452,A02453,NNA R,1974-049,C  MR,Priborniy otsek,PO,1974 Jun 29,S07351,1974 Jul 11 0757?,Earth,1974 Jul 11 0803?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Jul 11,-147,,241,,72.84,,SO,,
2453,A02454,NNA,1974-055,C  Y,Aeros 2 despin weight,,1974 Jul 16,S07371,1974 Jul 16 1202,Earth,1975 Sep?,R,,DFVLR,D,DORN,Aeros,,0,,0,,0,,0.0,,0.0,,0.0,,,1974 Aug 15,218,,829,,97.45,,LLEO/S,,
2454,A02455,NNA R,1974-051,CP HR,Soyuz-14 BO,Bitovoy otsek,1974 Jul  3,S07361,1974 Jul 19 1154?,Earth,1974 Jul 19 1200?,R,,MOM,SU,RKKE,Soyuz BO,,1250,,1250,,0,,2.2,,2.2,,2.2,,Sphere,1974 Jul 19,-127,,265,,51.58,,SO,,
2455,A02456,NNA R,1974-051,C  MR,Soyuz-14 PAO,Priborno-agregatniy otsek,1974 Jul  3,S07361,1974 Jul 19 1154?,Earth,1974 Jul 19 1200?,R,,MOM,SU,RKKE,Soyuz PAO,,2700,,2200,,0,,2.3,,2.2,,2.3,,Cyl,1974 Jul 19,-127,,265,,51.58,,SO,,
2456,A02457,NNA,1974-042,C  A,Fairing,GAMBIT SRV-2 Fairing,1974 Jun  6,S07330,1974 Jul 22 0127?,Earth,1974 Jul 22?,R,,NRO/SAFSP,US,LMSC,Fairing,,50,,50,,0,,0.5,,1.5,,1.5,,Frust,1974 Jul 22,120,,400,,110.47,,LLEO/R,,
2457,A02458,NNA R,1974-042,C  MR,Star 12,Star 12,1974 Jun  6,A02459,1974 Jul 22 0128?,Earth,1974 Jul 22 0135?,R,,NRO/SAFSP,US,THKE,Star 12,,33,,10,,0,,0.3,,0.3,,0.3,,Cyl + Cone,1974 Jul 22,-164,,269,,110.46,,SO,,
2458,A02459,NNA T,1974-042,PX-RT--,SRV Mission 4342-2,SRV-2,1974 Jun  6,S07330,1974 Jul 22 0128?,Earth,1974 Jul 22 0200?,L,POR,NRO/SAFSP,US,GERSD,SRV,Star 12,157,,157,,157,,0.8,,0.7,,0.8,,Cone,1974 Jul 22,121,,409,,110.46,,LLEO/R,,
2459,A02460,NNA R,1974-020,C  MR,SVM-3,SVM-3,1974 Apr 10,A02461,1974 Jul 24 2118?,Earth,1974 Jul 24 2123?,R,,NRO,US,AJSP,SVM-3,,100,,30,,0,,1.0,,0.8,,1.0,,Truss + Sphere + Cone,1974 Jul 24,-248,,226,,94.41,,SO,,
2460,A02461,NNA T,1974-020,PX-RT--,SRV Mission 1208-4,SRV-4,1974 Apr 10,S07242,1974 Jul 24 2118?,Earth,1974 Jul 24 2153?,L,POR MAR,NRO,US,MDASL,SRV Mk 8,,630,,630,,0,,1.4,,1.5,,1.5,,Rounded Cone,1974 Jul 24,146,,246,,94.41,,LLEO/P,,
